onset	duration	text	kommentar	loc_besch	w_class	function	grammar
335.823	0.4	Fronttür		object	NN		
336.223	0.1	auf			PTKVZ		
336.323	11.7	aus			APPR		
348.023	0.3	einem			ART		
348.323	0.3	Fenster		roomgeo	NN		
348.623	0.2	im			APPRART		
348.823	0.4	oberen			ADJA		
349.223	0.1	Stock			NN		
349.323	0.3	des			ART		
349.623	0.2	Hauses		geo	NN		
349.823	0.8	unten			ADV		
350.623	0.2	fährt			VVFIN		
350.823	0.1	das			ART		
350.923	0.2	Taxi		object	NN		
351.123	0.4	davon			PTKVZ		
355.223	2.6	Forrest		mname	NE		
357.823	0.4	liegt			VVFIN		
358.223	0.2	schlafend			ADJD		
358.423	0.3	im			APPRART		
358.723	0.0	Bett		furniture	NN		
358.723	0.8	seine			PPOSAT		
359.523	0.3	nackten			ADJA		
359.823	0.1	Schultern		body	NN		
359.923	0.6	gucken			VVFIN		
360.523	0.2	unter			APPR		
360.723	0.1	der			ART		
360.823	0.2	Decke		object	NN		
361.023	0.2	hervor			PTKVZ		
361.223	3.3	auf			APPR		
364.523	0.3	einer			ART		
364.823	0.3	Kommode		furniture	NN		
365.123	0.4	liegt			VVFIN		
365.523	0.3	neben			APPR		
365.823	0.2	Forrests		mname	NE		
366.023	1.2	Tischtennisschläger		object	NN		
367.223	0.5	seine			PPOSAT		
367.723	0.4	goldene			ADJA		
368.123	0.1	Tapferkeitsmedaille		object	NN		
368.223	1.0	am			APPRART		
369.223	0.2	blauen			ADJA		
369.423	0.2	Band		object	NN		
369.623	1.6	steht			VVFIN		
371.223	0.1	im			APPRART		
371.323	0.5	Morgenmantel		body	NN		
371.823	0.2	mit			APPR		
372.023	0.3	einem			ART		
372.323	0.2	Glas		object	NN		
372.523	0.2	Milch			NN		
372.723	0.2	in			APPR		
372.923	0.1	der			ART		
373.023	0.4	Zimmertür		roomgeo	NN		
373.423	0.5	und			KON		
373.923	0.5	betracht			VVFIN		
374.423	0.1	die			ART		
374.523	0.4	Medaille		object	NN		
374.923	0.4	ernst			ADJD		
377.623	0.7	Jennys		fname	NE		
378.323	0.2	Zimmer	roomgeo		NN		
378.523	0.3	ist			VAFIN		
378.823	0.2	das			ART		
379.023	0.2	Bett		furniture	NN		
379.223	0.3	unberührt			ADJD		
379.523	1.2	Forrest		mname	NE		
380.723	0.2	steht			VVFIN		
380.923	0.1	in			APPR		
381.023	0.1	der			ART		
381.123	0.2	Tür		roomgeo	NN		
381.323	0.3	und			KON		
381.623	0.3	starrt			VVFIN		
381.923	0.2	darauf			PROAV		
382.123	4.3	er			PPER		
386.423	0.3	sitzt			VVFIN		
386.723	0.1	im			APPRART		
386.823	0.1	Wohnzimmer	roomgeo		NN		
386.923	1.1	kerzengerade			ADJD		
388.023	0.3	auf			APPR		
388.323	0.2	der			ART		
388.523	0.5	Fensterbank		roomgeo	NN		
393.523	1.0	auf			APPR		
394.523	0.2	der			ART		
394.723	0.4	Veranda		roomgeo	NN		
395.123	0.3	sitzt			VVFIN		
395.423	0.5	Forrest		mname	NE		
395.923	0.4	reglos			ADJD		
396.323	0.2	in			APPR		
396.523	0.2	einem			ART		
396.723	0.4	Schaukelstuhl		furniture	NN		
397.123	0.8	er			PPER		
397.923	0.2	hat			VAFIN		
398.123	0.2	seine			PPOSAT		
398.323	0.4	Laufschuhe		object	NN		
398.723	0.2	an			PTKVZ		
398.923	0.1	und			KON		
