onset	duration	text	kommentar	loc_besch	loc_erw	w_class	function	grammar
417.500	0.300	zu		setting_new		PTKVZ		
417.800	7.500	vor				APPR		
425.300	0.100	der				ART		
425.400	0.300	breiten				ADJA		
425.700	0.400	Veranda		locale		NN		
426.100	0.300	bleiben				VVFIN		
426.400	0.100	sie				PPER		
426.500	0.200	stehen				VVINF		
427.300	6.900	ein				ART		
434.200	0.200	Büro		setting_new		NN		
434.400	11.700	Forrest		mname		NN		
446.100	0.200	sitzt				VVFIN		
446.300	0.300	neben				APPR		
446.600	0.100	der				ART		
446.700	0.300	offenen				ADJA		
447.000	0.100	Tür		roomgeo		NN		
447.100	0.100	im				APPRART		
447.200	0.400	Schulflur		locale		NN		
487.300	25.200	Hancock		mname		NN		
512.500	0.400	mustert				VVFIN		
512.900	0.400	sie				PPER		
513.300	0.400	lüstern				VVINF		
513.700	3.600	abends		++		ADV		
517.300	2.100	Forrest		mname		NN		
519.400	0.500	sitzt				VVFIN		
519.900	0.200	vor				APPR		
520.100	0.200	dem				ART		
520.300	0.100	Haus		setting_rec;geo		NN		
520.400	0.200	auf				APPR		
520.600	0.200	einer				ART		
520.800	0.300	Schaukel		object		NN		
521.100	0.300	und				KON		
521.400	0.300	blickt				VVFIN		
521.700	0.200	zu				APPR		
521.900	0.100	Boden			###	NN		
522.000	0.700	im				APPRART		
522.700	0.500	ersten				ADJA		
523.200	0.100	Stock		locale		NN		
523.300	0.300	brennt				ADJD		
523.600	0.300	Licht				NN		
525.900	2.500	verschwitzt				VVPP		
528.400	0.200	kommt				VVFIN		
528.600	0.300	Hancock		mname		NN		
528.900	0.200	aus				APPR		
529.100	0.100	dem				ART		
529.200	0.200	Haus		geo		NN		
529.400	0.200	auf				APPR		
529.600	0.100	die				ART		
529.700	0.400	Veranda		locale_recur		NN		
530.100	0.500	dort				ADV		
530.600	0.200	sitzt				VVFIN		
530.800	0.400	Forrest		mname		NN		
531.200	0.600	teilnahmslos				ADJD		
531.800	0.100	in				APPR		
531.900	0.300	einem				ART		
532.200	0.300	Schaukelstuhl		furniture		NN		
532.500	5.100	mit				APPR		
537.600	0.300	einem				ART		
537.900	0.200	Taschentuch		object		NN		
538.100	0.600	wischt				VVFIN		
538.700	0.100	er				PPER		
538.800	0.100	sich				PRF		
538.900	0.200	über				APPR		
539.100	0.200	den				ART		
539.300	0.200	Hals		head		NN		
539.500	0.300	und				KON		
539.800	0.100	sieht				VVFIN		
539.900	0.500	z#u		#	#	#		
540.400	0.200	F#orrest		#	#	#		
540.600	0.500	der				PDS		
541.100	0.400	starrt				VVFIN		
541.500	0.200	ins				APPRART		
541.700	0.300	Leere				NN		
542.000	3.600	Forrest		mname		NN		
545.600	0.200	schaut				VVFIN		
545.800	0.400	Hancock		mname		NN		
546.200	0.200	an				PTKVZ		
548.000	2.900	Hancock		mname		NN		
550.900	0.500	marschiert				VVFIN		
551.400	0.300	davon				PROAV		
551.700	0.800	die				ART		
552.500	0.200	Mutter		female		NN		
552.700	0.200	sitzt				VVFIN		
552.900	0.100	mit				APPR		
553.000	0.100	dem				ART		
553.100	0.300	Buch		object		NN		
553.400	0.400	Curious				NE		
553.800	0.300	George			mname	NE		
554.100	0.200	auf				APPR		
554.300	0.200	dem				ART		
554.500	0.100	Bett		furniture		NN		
554.600	0.200	von				APPR		
554.800	0.400	Forrest		mname		NN		
555.200	23.200	er#blickt		#	#	#		
578.400	1.000	gedankenverloren				VVFIN		
579.400	0.100	zur				APPRART		
579.500	0.400	Zimmerdecke		roomgeo		NN		
582.500	4.500	es				PPER		
587.000	0.200	ist				VAFIN		
587.200	0.200	Tag		++		NN		
587.400	32.700	Misses				NE		
620.100	0.300	Gump		fname		NN		
620.400	0.200	geht				VVFIN		
620.600	0.500	neugierig				ADJD		
621.100	0.200	zu				APPR		
621.300	0.200	einer				ART		
621.500	0.500	geschlossenen				ADJA		
622.000	0.200	Zimmertür		locale		NN		
624.000	0.600	Forrest		mname		NN		
624.600	0.400	schwingt				VVFIN		
625.000	0.200	mit				APPR		
625.200	0.500	gebeugten				ADJA		
625.700	0.300	Knien		bodypart		NN		
626.000	0.100	die				ART		
626.100	0.400	Hüften		bodypart		NN		
626.500	0.100	und				KON		
626.600	0.400	hält				VVFIN		
627.000	0.100	sich				PRF		
627.100	0.200	an				APPR		
627.300	0.200	einem				ART		
627.500	0.500	Besen#fest		#	#	#		
628.000	0.400	der				ART		
628.400	0.400	Gitarrist		male		NN		
628.800	0.100	hat				VAFIN		
628.900	0.200	eine				ART		
629.100	0.200	Tolle		head		NN		
